Incidence Rate Report for Louisiana by Parish

"All Cancer Sites (All Stages^), 2018-2022"

"All Races (includes Hispanic), Both Sexes, Ages <65"

Sorted by Rate

Parish,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Catahoula Parish(7)",22025,Rural,253.1 ,208.2, 305.4,43 , 1 , 64,25,stable,1.4 ,-0.4, 3.3
"St. Charles Parish(7)",22089,Urban,249.4 ,230.8, 269.2,44 , 14 , 63,146,stable,0.4 ,-0.2, 1.1
"Iberia Parish(7)",22045,Rural,248.9 ,232.3, 266.5,45 , 17 , 62,187,stable,0.1 ,-0.6, 0.9
"Jefferson Parish(7)",22051,Urban,247.8 ,241.1, 254.7,46 , 31 , 56,1136,rising,0.5 ,0.1, 0.8
"Webster Parish(7)",22119,Rural,247.6 ,225, 271.9,47 , 12 , 64,100,stable,-0.3 ,-1.2, 0.6
"East Baton Rouge Parish(7)",22033,Urban,246.9 ,239.9, 254,48 , 31 , 57,1039,stable,0.3 ,-0.1, 0.7
"Plaquemines Parish(7)",22075,Urban,245.5 ,217.8, 276,49 , 9 , 64,60,stable,0.0 ,-1.1, 1.2
"Vernon Parish(7)",22115,Rural,244.2 ,222.5, 267.4,50 , 14 , 64,98,stable,-3.2 ,-11.9, 0.7
"Bossier Parish(7)",22015,Urban,243.9 ,231.3, 256.9,51 , 27 , 62,300,stable,0.2 ,-0.3, 0.9
"Lafayette Parish(7)",22055,Urban,242.6 ,233.6, 251.8,52 , 32 , 62,590,stable,0.3 ,0.0, 0.7
"Ouachita Parish(7)",22073,Urban,242 ,230.8, 253.7,53 , 30 , 62,375,stable,0.0 ,-0.5, 0.6
"Jefferson Davis Parish(7)",22053,Urban,241.9 ,217.3, 268.6,54 , 13 , 64,79,stable,0.1 ,-0.9, 1.2
"Caldwell Parish(7)",22021,Rural,241 ,199.1, 289.6,55 , 3 , 64,25,stable,0.2 ,-1.3, 1.8
"LaFourche Parish(7)",22057,Urban,240.6 ,226.8, 255.1,56 , 27 , 63,248,stable,0.6 ,-0.1, 1.4
"Calcasieu Parish(7)",22019,Urban,236.8 ,227.2, 246.7,57 , 39 , 63,500,stable,-0.2 ,-0.8, 0.4
"Concordia Parish(7)",22029,Rural,236.6 ,205, 271.8,58 , 9 , 64,45,stable,-1.3 ,-5.8, 0.8
"St. Helena Parish(7)",22091,Urban,236.1 ,196, 282.7,59 , 5 , 64,27,stable,1.3 ,-0.4, 3.2
"Orleans Parish(7)",22071,Urban,233.2 ,226.2, 240.4,60 , 47 , 63,914,stable,-0.4 ,-1.4, 0.0
"Terrebonne Parish(7)",22109,Urban,232.1 ,219.2, 245.5,61 , 39 , 64,265,stable,-2.8 ,-7.0, 0.3
"Madison Parish(7)",22065,Rural,231.6 ,189, 281.2,62 , 5 , 64,22,stable,-0.1 ,-4.5, 1.6
"St. John the Baptist Parish(7)",22095,Urban,231.4 ,211.2, 253.2,63 , 28 , 64,107,stable,0.0 ,-0.6, 0.8
"Lincoln Parish(7)",22061,Rural,214.3 ,192.9, 237.3,64 , 42 , 64,80,stable,-0.2 ,-4.2, 0.6


Notes:

Created by statecancerprofiles.cancer.gov on 02/20/2026 3:42 am.

"State Cancer Registries [ https://www.cdc.gov/national-program-cancer-registries/contact/index.html ] may provide more current or more local data."

"

Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.
"

